Size (360, 360, 360); Boundaries 20; Domains (11, 16, 1); Time 93.43 s; Iterations 332; Residual norm 9.727e-07 
Size (360, 360, 360); Boundaries 20; Domains (11, 17, 1); Time 98.47 s; Iterations 333; Residual norm 9.815e-07 
Size (360, 360, 360); Boundaries 20; Domains (11, 18, 1); Time 103.60 s; Iterations 333; Residual norm 9.791e-07 
Size (360, 360, 360); Boundaries 20; Domains (11, 19, 1); Time 106.78 s; Iterations 333; Residual norm 9.862e-07 
Size (360, 360, 360); Boundaries 20; Domains (11, 20, 1); Time 112.52 s; Iterations 332; Residual norm 9.752e-07 
Size (360, 360, 360); Boundaries 20; Domains (12, 1, 1); Time 11.23 s; Iterations 222; Residual norm 9.554e-07 
Size (360, 360, 360); Boundaries 20; Domains (12, 2, 1); Time 25.05 s; Iterations 332; Residual norm 9.658e-07 
Size (360, 360, 360); Boundaries 20; Domains (12, 3, 1); Time 32.32 s; Iterations 333; Residual norm 9.779e-07 
Size (360, 360, 360); Boundaries 20; Domains (12, 4, 1); Time 36.67 s; Iterations 332; Residual norm 9.701e-07 
Size (360, 360, 360); Boundaries 20; Domains (12, 5, 1); Time 41.79 s; Iterations 333; Residual norm 9.781e-07 
Size (360, 360, 360); Boundaries 20; Domains (12, 6, 1); Time 47.40 s; Iterations 332; Residual norm 9.702e-07 
Size (360, 360, 360); Boundaries 20; Domains (12, 7, 1); Time 54.46 s; Iterations 333; Residual norm 9.781e-07 
Size (360, 360, 360); Boundaries 20; Domains (12, 8, 1); Time 56.88 s; Iterations 332; Residual norm 9.710e-07 
Size (360, 360, 360); Boundaries 20; Domains (12, 9, 1); Time 62.83 s; Iterations 333; Residual norm 9.787e-07 
